formula,TL,NdValence_composition_average,IsTransitionMetal_composition_average,HeatVaporization_difference,valence_difference,Trg
Ag10Cu35Zr55,1210.869,5.6,1.0,339.87,2.0,0.534391278
Ag10Cu50Zr40,1150.093,6.8,1.0,339.87,2.0,0.6082451729999999
Ag10Cu55Zr35,1200.345,7.2,1.0,339.87,2.0,0.608510326
Ag15Cu45Zr40,1188.829,6.8,1.0,339.87,2.0,0.586262414
Ag25Cu35Zr40,1220.177,6.8,1.0,339.87,2.0,0.56452735
Ag35Ca65,868.0,3.5,0.35,95.96,0.0,0.515
Ag5Cu55Zr40,1171.82,6.8,1.0,339.87,2.0,0.598170354
Al13.3Co26.7Zr60,1254.0,3.069,0.867,299.7,1.0,0.573
Al15.4Co26Zr58.6,1282.0,2.992,0.846,299.7,1.0,0.565
Al15Ca70Mg15,771.0,0.0,0.0,163.2,1.0,0.544747082
Al16.9Co25.6Zr57.5,1300.0,2.9419999999999997,0.831,299.7,1.0,0.5720000000000001
Al18Sr82,863.0,0.0,0.0,153.9,1.0,0.527
Al19.4Co24.8Zr55.8,1302.0,2.852,0.8059999999999999,299.7,1.0,0.5770000000000001
Al20Ca65Mg15,776.0,0.0,0.0,163.2,1.0,0.596649485
Al21.2Co21.2Zr57.6,1324.0,2.636,0.7879999999999999,299.7,1.0,0.574
Al22.3Co22.3Zr55.4,1326.0,2.6689999999999996,0.777,299.7,1.0,0.578
Al22Co24Zr54,1316.0,2.76,0.78,299.7,1.0,0.584
Al23.5Co23.5Zr53,1320.0,2.705,0.765,299.7,1.0,0.59
Al30Ca60Mg10,873.0,0.0,0.0,163.2,1.0,0.5819014889999999
Al30Sr70,953.0,0.0,0.0,153.9,1.0,0.556
Al32Ca58Mg10,873.0,0.0,0.0,163.2,1.0,0.587628866
Al35Ca65,818.0,0.0,0.0,136.13,1.0,0.688
Al35La50Ni15,971.0,1.7,0.15,108.77,0.0,0.5479999999999999
Al35Sr65,993.0,0.0,0.0,153.9,1.0,0.493
Al40La45Ni15,1097.0,1.65,0.15,108.77,0.0,0.49200000000000005
Al85Co5Y10,1232.0,0.45,0.15,102.5,0.0,0.48
Al85Ni5Y10,1249.0,0.5,0.15,102.5,0.0,0.42
Al86.5Co4.5Y9,1231.0,0.405,0.135,102.5,0.0,0.44
Al86.5Ni4.5Y9,1222.0,0.45,0.135,102.5,0.0,0.41
Al88Co4Y8,1189.0,0.36,0.12,102.5,0.0,0.43
Al88Ni4Y8,1189.0,0.4,0.12,102.5,0.0,0.39
Al89.5Co3.5Y7,1188.0,0.315,0.105,102.5,0.0,0.39
Al89.5Ni3.5Y7,1146.0,0.35,0.105,102.5,0.0,0.37
Au35Ca65,1116.0,3.5,0.35,169.76,1.0,0.508
Au49Ag5.5Pd2.3Cu26.9Si16.3,644.0,8.37,0.8370000000000001,142.67,2.0,0.622670807
Au55Cu25Si20,654.0,8.0,0.8,58.5,2.0,0.532110092
Au77.8Si8.4Ge13.8,629.0,9.16,0.778,34.57,1.0,0.46581999999999996
Au77Si9.4Ge13.6,625.0,9.06,0.77,34.57,1.0,0.469
Be30Zr70,1393.0,1.4,0.7,293.5,2.0,0.44
Be32.5Zr67.5,1238.0,1.35,0.675,293.5,2.0,0.496
Be40Zr60,1343.0,1.2,0.6,293.5,2.0,0.46399999999999997
Be45Zr55,1413.0,1.1,0.55,293.5,2.0,0.457
Be50Zr50,1473.0,1.0,0.5,293.5,2.0,0.456
Ca40Mg25Cu35,680.0,3.5,0.35,172.9,0.0,0.5867600000000001
Ca40Mg30Cu30,694.0,3.0,0.3,172.9,0.0,0.56916
Ca45Mg19Cu36,714.0,3.6,0.36,172.9,0.0,0.55882
Ca45Mg25Cu30,678.0,3.0,0.3,172.9,0.0,0.58997
Ca45Mg30Cu25,717.0,2.5,0.25,172.9,0.0,0.5592699999999999
Ca47.5Mg22.5Cu30,673.0,3.0,0.3,172.9,0.0,0.59287
