time (min),velocity (m/s),d0,n0,d,n,B d,Bn
30,0.8,0.90621,1.811,0.86399399,1.43751002,0.06517,0.07185
60,0.8,0.90621,1.811,0.847784529,1.365091912,0.06517,0.07185
120,0.8,0.90621,1.811,0.838540096,1.344356432,0.06517,0.07185
180,0.8,0.90621,1.811,0.836219134,1.338721443,0.06517,0.07185
240,0.8,0.90621,1.811,0.834874068,1.333640628,0.06517,0.07185
300,0.8,0.90621,1.811,0.833667799,1.328597924,0.06517,0.07185
400,0.8,0.90621,1.811,0.831694974,1.320236879,0.06517,0.07185
500,0.8,0.90621,1.811,0.829730206,1.311928477,0.06517,0.07185
600,0.8,0.90621,1.811,0.827770207,1.30367236,0.06517,0.07185
700,0.8,0.90621,1.811,0.825814843,1.2954682,0.06517,0.07185
800,0.8,0.90621,1.811,0.823864099,1.28731567,0.06517,0.07185
900,0.8,0.90621,1.811,0.821917963,1.279214445,0.06517,0.07185
1000,0.8,0.90621,1.811,0.819976423,1.271164201,0.06517,0.07185
1100,0.8,0.90621,1.811,0.818039471,1.263164619,0.06517,0.07185
1200,0.8,0.90621,1.811,0.816107093,1.255215379,0.06517,0.07185
30,0.8,0.86399399,1.43751002,0.847784529,1.365091912,0.06517,0.07185
90,0.8,0.86399399,1.43751002,0.838540096,1.344356432,0.06517,0.07185
150,0.8,0.86399399,1.43751002,0.836219134,1.338721443,0.06517,0.07185
210,0.8,0.86399399,1.43751002,0.834874068,1.333640628,0.06517,0.07185
270,0.8,0.86399399,1.43751002,0.833667799,1.328597924,0.06517,0.07185
370,0.8,0.86399399,1.43751002,0.831694974,1.320236879,0.06517,0.07185
470,0.8,0.86399399,1.43751002,0.829730206,1.311928477,0.06517,0.07185
570,0.8,0.86399399,1.43751002,0.827770207,1.30367236,0.06517,0.07185
670,0.8,0.86399399,1.43751002,0.825814843,1.2954682,0.06517,0.07185
770,0.8,0.86399399,1.43751002,0.823864099,1.28731567,0.06517,0.07185
870,0.8,0.86399399,1.43751002,0.821917963,1.279214445,0.06517,0.07185
970,0.8,0.86399399,1.43751002,0.819976423,1.271164201,0.06517,0.07185
1070,0.8,0.86399399,1.43751002,0.818039471,1.263164619,0.06517,0.07185
1170,0.8,0.86399399,1.43751002,0.816107093,1.255215379,0.06517,0.07185
60,0.8,0.847784529,1.365091912,0.838540096,1.344356432,0.06517,0.07185
120,0.8,0.847784529,1.365091912,0.836219134,1.338721443,0.06517,0.07185
180,0.8,0.847784529,1.365091912,0.834874068,1.333640628,0.06517,0.07185
240,0.8,0.847784529,1.365091912,0.833667799,1.328597924,0.06517,0.07185
340,0.8,0.847784529,1.365091912,0.831694974,1.320236879,0.06517,0.07185
440,0.8,0.847784529,1.365091912,0.829730206,1.311928477,0.06517,0.07185
540,0.8,0.847784529,1.365091912,0.827770207,1.30367236,0.06517,0.07185
640,0.8,0.847784529,1.365091912,0.825814843,1.2954682,0.06517,0.07185
740,0.8,0.847784529,1.365091912,0.823864099,1.28731567,0.06517,0.07185
840,0.8,0.847784529,1.365091912,0.821917963,1.279214445,0.06517,0.07185
940,0.8,0.847784529,1.365091912,0.819976423,1.271164201,0.06517,0.07185
1040,0.8,0.847784529,1.365091912,0.818039471,1.263164619,0.06517,0.07185
1140,0.8,0.847784529,1.365091912,0.816107093,1.255215379,0.06517,0.07185
60,0.8,0.838540096,1.344356432,0.836219134,1.338721443,0.06517,0.07185
120,0.8,0.838540096,1.344356432,0.834874068,1.333640628,0.06517,0.07185
180,0.8,0.838540096,1.344356432,0.833667799,1.328597924,0.06517,0.07185
280,0.8,0.838540096,1.344356432,0.831694974,1.320236879,0.06517,0.07185
380,0.8,0.838540096,1.344356432,0.829730206,1.311928477,0.06517,0.07185
480,0.8,0.838540096,1.344356432,0.827770207,1.30367236,0.06517,0.07185
